POS_X,POS_Y,VEL_X,VEL_Y,SENSOR_X,SENSOR_Y,NEAR_BANK,TS
265.68552958637804,520.0219123312435,-387,460,276.7539826808352,525.3547973634518,False,0.03333333333333333
252.8073879407511,535.3113808129845,-386,458,260.3470381081184,545.6927464738825,False,0.03333333333333333
239.98090795208574,550.5395144144637,-384,456,246.71376678167996,565.1951611803795,False,0.03333333333333333
227.20608962038193,565.7063131356813,-383,455,230.2967050722509,566.2746503977472,False,0.03333333333333333
214.48293294563967,580.811776976637,-381,453,208.243599237293,583.4983047779596,False,0.03333333333333333
201.81143792785898,595.855905937331,-380,451,209.14956416307865,608.789984758852,False,0.03333333333333333
189.19160456703983,610.8387000177634,-378,449,199.89190431687425,598.8237917244775,False,0.03333333333333333
176.62343286318225,625.760159217934,-377,447,174.59542489180276,643.8959480331617,False,0.03333333333333333
164.10692281628621,640.6202835378429,-375,445,175.5942994065303,632.4899788039276,False,0.03333333333333333
151.6420744263517,655.4190729774899,-373,443,141.35352400836064,627.9841863996156,False,0.03333333333333333
139.22888769337877,670.1565275368753,-372,442,123.69631383639458,690.4167204640441,True,0.03333333333333333
126.86736261736738,684.8326472159989,-370,440,135.58763811824886,668.765855380268,True,0.03333333333333333
114.55749919831754,699.4474320148609,369,438,111.76057021360711,698.7047959229587,True,0.03333333333333333
126.81570096040582,714.0008819334611,367,436,113.57630911236926,721.8390102944394,True,0.03333333333333333
139.02224106553254,728.4929969717995,366,434,138.29030590064087,717.8452098341605,True,0.03333333333333333
151.1771195136977,742.9237771298762,364,432,132.79120070924057,757.28088103836,False,0.03333333333333333
163.2803363049013,757.2932224076911,363,431,168.79563737663284,759.4502312900959,False,0.03333333333333333
175.3318914391434,771.6013328052444,361,429,178.30139849345304,773.0863132345828,False,0.03333333333333333
187.3317849164239,785.848108322536,359,427,190.07798982222636,780.1181106128787,False,0.03333333333333333
199.28001673674288,800.0335489595657,358,425,180.74888472427352,798.6698161212616,False,0.03333333333333333
211.1765869001003,814.1576547163337,356,423,212.0484701640769,839.0536545731403,False,0.03333333333333333
223.02149540649614,828.22042559284,355,421,208.06027946531063,836.657470654654,False,0.03333333333333333
234.81474225593044,842.2218615890846,353,420,245.65873175496355,850.0445884354049,False,0.03333333333333333
246.55632744840318,856.1619627050675,352,418,253.97449741883636,850.6308831387672,False,0.03333333333333333
258.24625098391436,870.0407289407885,350,416,254.77775492216355,865.4809309496634,False,0.03333333333333333
269.884512862464,883.8581602962479,349,414,268.33805419638696,885.2283955042346,False,0.03333333333333333
281.4711130840521,897.6142567714455,347,412,279.9497732593209,892.2519462443124,False,0.03333333333333333
293.00605164867864,911.3090183663815,346,410,303.22353097483716,904.1130095414256,False,0.03333333333333333
304.4893285563436,924.9424450810556,344,409,321.46300757139846,935.1962685274259,False,0.03333333333333333
315.920943807047,938.5145369154679,342,407,323.60068342086765,956.1405930233664,False,0.03333333333333333
327.3008974007889,952.0252938696186,341,405,319.20961503888003,953.7192986675649,False,0.03333333333333333
338.62918933756924,965.4747159435076,339,403,329.0634422762263,967.4803158122808,False,0.03333333333333333
349.90581961738803,978.8628031371348,338,401,356.04114481096457,996.0791966506141,False,0.03333333333333333
361.13078824024524,992.1895554505003,336,399,369.2084706180538,971.7406598711782,False,0.03333333333333333
372.3040952061409,1005.454972883604,335,397,377.2483274683906,1004.1336978453015,False,0.03333333333333333
